Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services,42,3713,2300,1687,215,557,0,856,5144,714,4578
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android,42,3713,2300,1687,215,557,0,856,5144,714,4578
